intern_id,attendance_pct,submission_pct,feedback_score,mentor_sessions,department,final_success,split,success_probability
INT-0349,52.01,54.24,2.09,5.0,Web Development,0,test,0.1556761400378292
INT-0350,100.0,82.78,4.16,5.0,Marketing,1,train,0.9301617653057825
INT-0351,76.74,78.8,3.36,8.0,Marketing,0,train,0.7770762555800118
INT-0352,92.16,91.43,3.68,2.0,Marketing,1,train,0.8783326188489039
INT-0353,67.01,74.42,4.54,2.0,Web Development,0,train,0.6625937773382153
INT-0354,96.11,73.74,2.57,3.0,Marketing,1,train,0.7462457344543725
INT-0355,97.71,84.26,3.77,6.0,Marketing,1,test,0.9189309883174946
INT-0356,74.34,37.87,4.36,7.0,Marketing,1,test,0.5413355876553871
INT-0357,79.6,67.05,2.49,2.0,Marketing,0,train,0.4859572720436681
INT-0358,92.22,68.98,3.08,0.0,Design,1,train,0.6699649140314824
INT-0359,69.85,43.91,2.6,5.0,Data Analytics,1,train,0.27936911148289495
INT-0360,61.96,71.96,3.17,5.0,Web Development,1,test,0.48420969201229486
INT-0361,82.42,68.78,2.21,3.0,Marketing,1,train,0.5214661221733454
INT-0362,72.52,46.51,4.01,1.0,Web Development,0,test,0.4031714723589736
INT-0363,100.0,91.01,4.37,7.0,Data Analytics,1,train,0.9598347259671124
INT-0364,73.42,42.07,3.23,7.0,Marketing,0,train,0.4203104263925128
INT-0365,79.15,76.8,2.73,6.0,Web Development,0,train,0.6835221318897556
INT-0366,100.0,77.76,4.2,5.0,Marketing,1,train,0.9197566956788807
INT-0367,65.5,60.52,2.4,2.0,Web Development,0,train,0.27266902337111715
INT-0368,73.27,54.88,2.76,3.0,Web Development,1,train,0.37121172804208963
INT-0369,77.12,79.48,5.0,0.0,Web Development,1,train,0.795976537096856
INT-0370,92.18,87.26,3.89,2.0,Web Development,1,train,0.8748840236104536
INT-0371,86.88,68.61,2.57,4.0,Web Development,1,test,0.639296594381066
INT-0372,90.99,71.76,4.19,3.0,Web Development,1,train,0.8341453370715184
INT-0373,83.83,65.03,2.88,0.0,Marketing,0,test,0.5198225200915949
INT-0374,77.84,77.29,2.98,8.0,Web Development,1,test,0.7409502373975881
INT-0375,75.11,80.75,2.95,2.0,Web Development,1,train,0.6083971073830485
INT-0376,92.3,100.0,4.25,4.0,Marketing,1,train,0.9408413269887714
INT-0377,82.43,77.47,3.95,4.0,Web Development,1,train,0.7996978334491199
INT-0378,68.04,36.03,2.8,4.0,Data Analytics,0,test,0.21522581839928823
INT-0379,100.0,84.16,4.57,7.0,Data Analytics,1,test,0.9545442407564355
INT-0380,55.33,60.78,2.4,6.0,Web Development,0,train,0.2582831349904075
INT-0381,86.76,76.89,3.08,7.0,Design,1,train,0.8032237697914356
INT-0382,100.0,97.5,4.25,3.0,Marketing,1,train,0.9498827014643586
INT-0383,51.0,72.66,2.16,2.0,Data Analytics,1,train,0.203112903814335
INT-0384,61.49,42.61,2.58,3.0,Design,1,train,0.16990794623791072
INT-0385,35.5,45.35,2.91,5.0,Web Development,0,train,0.08825927705210447
INT-0386,69.55,65.26,2.76,3.0,Web Development,1,train,0.4142028636587497
INT-0387,73.52,78.71,3.78,4.0,Web Development,1,test,0.7158229266311199
INT-0388,87.33,73.38,4.78,1.0,Web Development,0,train,0.8336536785298981
INT-0389,66.26,54.73,3.42,5.0,Data Analytics,1,train,0.42070472708831497
INT-0390,63.65,42.24,3.52,6.0,Data Analytics,0,train,0.3280615535711558
INT-0391,55.9,20.01,2.64,4.0,Design,0,train,0.07677483605360802
INT-0392,70.93,48.7,2.4,7.0,Data Analytics,1,train,0.3445580274883108
INT-0393,60.03,53.31,2.39,8.0,Web Development,0,train,0.288914806179728
INT-0394,62.87,64.69,3.05,8.0,Data Analytics,1,train,0.4905039337380259
INT-0395,85.16,91.4,3.15,0.0,Data Analytics,1,test,0.7648435305790366
INT-0396,74.12,82.63,3.41,7.0,Data Analytics,1,train,0.7659627556675457
INT-0397,73.13,71.51,4.21,3.0,Web Development,1,train,0.6870763107823108
INT-0398,85.74,72.02,4.39,4.0,Data Analytics,0,test,0.8294209736463245
INT-0399,80.92,54.47,3.88,3.0,Data Analytics,0,train,0.5979826386891544
INT-0400,57.38,53.8,2.74,2.0,Web Development,1,test,0.19609939223272102
INT-0401,69.94,74.71,1.85,7.0,Web Development,0,train,0.47766419563586504
INT-0402,91.47,86.7,3.55,5.0,Data Analytics,0,train,0.881717409590593
INT-0403,95.52,75.15,3.83,8.0,Data Analytics,1,train,0.9039796530412637
INT-0404,71.19,80.43,3.33,8.0,Marketing,0,train,0.7370078079803768
INT-0405,91.49,59.12,5.0,3.0,Design,1,train,0.8360676184283515
INT-0406,62.67,50.28,4.14,6.0,Data Analytics,1,train,0.45847463284932655
INT-0407,76.68,80.05,3.89,4.0,Web Development,1,test,0.7637988698514437
INT-0408,91.09,100.0,3.14,4.0,Web Development,1,train,0.8940917410171698
INT-0409,45.4,47.02,2.04,6.0,Marketing,0,train,0.10225382428773355
INT-0410,64.2,50.69,2.69,6.0,Marketing,0,train,0.30255726660396287
INT-0411,49.45,17.55,2.12,8.0,Marketing,0,train,0.060047216685131216
INT-0412,50.43,6.35,2.58,6.0,Data Analytics,0,train,0.04554142371445836
INT-0413,74.02,62.96,3.31,5.0,Web Development,0,test,0.5656404228989792
INT-0414,59.32,78.98,3.01,8.0,Web Development,1,train,0.5652898799040151
INT-0415,85.91,51.96,4.1,0.0,Design,1,test,0.5903175695266352
INT-0416,50.29,76.08,3.57,6.0,Marketing,0,train,0.4600470531671887
INT-0417,87.09,91.04,2.73,3.0,Web Development,1,train,0.7910682653228361
INT-0418,100.0,100.0,4.03,3.0,Design,1,test,0.9484719853473792
INT-0419,73.86,72.81,3.56,7.0,Web Development,1,test,0.7144669039936767
INT-0420,82.29,100.0,4.76,2.0,Data Analytics,1,train,0.9145817092326309
INT-0421,68.35,73.59,3.21,7.0,Web Development,0,test,0.6237533258048548
INT-0422,76.55,56.99,3.56,4.0,Design,1,train,0.5525196827484836
INT-0423,50.46,77.39,3.23,3.0,Web Development,1,test,0.35958221700733545
INT-0424,68.56,34.61,1.74,2.0,Design,1,train,0.11263473847669637
INT-0425,65.02,97.19,1.97,3.0,Design,1,train,0.5297599320630851
INT-0426,61.06,71.53,4.01,8.0,Web Development,1,test,0.6478903300124199
INT-0427,83.42,90.19,4.64,0.0,Marketing,1,train,0.8619846684977521
INT-0428,91.92,100.0,4.49,4.0,Data Analytics,1,train,0.9465279676290957
INT-0429,67.31,76.17,3.76,7.0,Marketing,1,test,0.696545928161074
INT-0430,90.82,89.38,4.34,4.0,Data Analytics,1,train,0.9155142072062633
INT-0431,46.24,32.88,3.36,5.0,Web Development,1,train,0.11647954551153386
INT-0432,80.61,99.24,3.0,3.0,Marketing,0,train,0.8099281437207094
INT-0433,67.53,65.13,4.55,1.0,Design,1,test,0.5720818490086492
INT-0434,65.3,44.21,2.86,5.0,Web Development,0,test,0.2662282934592238
INT-0435,77.5,68.94,3.59,8.0,Marketing,1,train,0.7441977642728542
INT-0436,85.57,69.69,2.63,4.0,Data Analytics,1,train,0.6409170016825999
INT-0437,70.19,54.34,3.31,3.0,Design,1,train,0.40065317619955343
INT-0438,51.4,56.29,1.7,1.0,Design,0,train,0.09600239215904864
INT-0439,62.07,57.55,3.56,8.0,Data Analytics,1,train,0.48670776801045446
INT-0440,75.97,100.0,2.95,7.0,Marketing,1,train,0.835345381584916
INT-0441,62.6,96.72,3.56,8.0,Marketing,1,train,0.7867025529883738
INT-0442,83.55,77.91,3.2,3.0,Data Analytics,1,test,0.7239211584694147
INT-0443,70.79,78.69,3.4,5.0,Data Analytics,1,test,0.6673511371963821
INT-0444,74.69,87.9,3.53,3.0,Data Analytics,0,train,0.7433786730022459
INT-0445,69.4,82.0,3.12,2.0,Web Development,1,test,0.5758927843937149
INT-0446,39.3,43.77,3.98,1.0,Web Development,0,train,0.11443003203554461
INT-0447,85.42,83.18,4.9,3.0,Design,1,test,0.8922719145303097
INT-0448,64.27,80.4,3.48,4.0,Design,0,train,0.5975316566253785
INT-0449,84.89,82.3,3.94,1.0,Data Analytics,1,test,0.7966192477979123
INT-0450,100.0,77.61,4.18,6.0,Web Development,1,train,0.9256103544586004
INT-0451,76.73,47.76,4.13,4.0,Marketing,0,train,0.5501493731280667
INT-0452,85.34,87.44,2.99,7.0,Marketing,1,train,0.839289124123654
INT-0453,87.55,100.0,4.32,2.0,Web Development,1,test,0.9158168272200179
INT-0454,100.0,100.0,3.16,0.0,Data Analytics,1,train,0.8973083466844993
INT-0455,81.12,93.58,4.22,2.0,Data Analytics,1,train,0.8602266569070173
INT-0456,70.0,62.72,4.93,8.0,Web Development,0,train,0.7692153693576832
INT-0457,100.0,92.53,3.99,2.0,Web Development,1,test,0.9268983199053107
INT-0458,54.13,45.27,1.49,6.0,Web Development,0,train,0.1079466325862959
INT-0459,79.8,74.14,3.99,7.0,Data Analytics,1,train,0.8118809492985589
INT-0460,71.78,82.4,2.75,2.0,Web Development,1,train,0.559197614775147
INT-0461,84.04,78.45,3.09,5.0,Web Development,1,train,0.7582629042962243
INT-0462,59.93,38.89,3.42,1.0,Web Development,0,train,0.17595269122630477
INT-0463,53.04,28.16,2.78,3.0,Data Analytics,0,test,0.08569759336124906
INT-0464,46.62,19.5,2.02,2.0,Marketing,0,test,0.030665043818702758
INT-0465,55.01,61.0,2.39,6.0,Web Development,0,train,0.25587830354294205
INT-0466,76.43,93.56,3.26,7.0,Web Development,1,train,0.8302317386293212
INT-0467,76.28,86.38,2.97,2.0,Marketing,1,train,0.6675422579134924
INT-0468,100.0,76.45,3.59,2.0,Design,1,train,0.856257279825145
INT-0469,89.18,100.0,3.72,7.0,Data Analytics,1,train,0.9333110141097347
INT-0470,72.5,69.72,3.16,4.0,Data Analytics,0,train,0.5616805868224759
INT-0471,80.51,55.93,3.45,4.0,Data Analytics,1,train,0.5748742300671749
INT-0472,69.23,61.24,2.21,6.0,Design,0,train,0.37953753552284736
INT-0473,75.07,82.79,3.95,1.0,Web Development,1,test,0.7171639227795716
INT-0474,97.56,82.67,1.58,7.0,Web Development,1,train,0.7901636359143365
INT-0475,73.26,63.58,3.4,3.0,Design,1,train,0.5253392627048324
INT-0476,80.95,75.12,2.8,5.0,Design,0,test,0.6759713798357626
INT-0477,73.96,59.1,4.04,3.0,Data Analytics,0,test,0.577902628752396
INT-0478,64.19,50.61,3.22,6.0,Data Analytics,0,train,0.36289601468159943
INT-0479,93.84,88.03,4.19,5.0,Marketing,0,train,0.9239325272001568
INT-0480,100.0,100.0,4.2,1.0,Marketing,1,train,0.9429944306742475
INT-0481,82.83,68.58,3.92,1.0,Marketing,1,train,0.6882469333220254
INT-0482,92.46,100.0,4.25,7.0,Marketing,1,train,0.9555014028974601
INT-0483,79.59,87.11,2.25,4.0,Web Development,1,train,0.6674766551576347
INT-0484,83.61,99.63,5.0,2.0,Marketing,1,train,0.9272010186763319
INT-0485,69.35,83.33,2.36,1.0,Marketing,0,train,0.4641145220780962
INT-0486,72.72,84.41,3.61,1.0,Marketing,1,train,0.6680866575259855
INT-0487,69.07,69.79,3.28,8.0,Data Analytics,1,train,0.6326489030867808
INT-0488,76.35,82.6,3.81,8.0,Data Analytics,1,train,0.831162537137951
INT-0489,58.02,59.63,2.63,3.0,Web Development,0,train,0.2419220444855097
INT-0490,73.72,79.33,4.31,1.0,Design,1,train,0.7184901833575127
INT-0491,97.1,72.39,2.85,3.0,Marketing,1,train,0.7728242956652419
INT-0492,88.58,64.49,3.54,1.0,Web Development,0,train,0.6731733805048351
INT-0493,76.31,63.47,2.86,4.0,Marketing,1,train,0.5141044657471036
INT-0494,94.01,82.64,3.15,5.0,Marketing,1,test,0.855790002693015
INT-0495,74.56,87.23,3.55,8.0,Marketing,1,train,0.8224619979509233
INT-0496,95.02,86.38,4.62,2.0,Data Analytics,1,train,0.9188238366213848
INT-0497,55.4,56.75,2.24,1.0,Data Analytics,0,train,0.14678727501622435
INT-0498,72.39,81.74,3.78,1.0,Data Analytics,1,train,0.664109063956628
INT-0499,44.82,36.91,2.44,3.0,Design,0,test,0.06732760712383505
INT-0500,79.21,56.4,2.03,5.0,Design,0,test,0.40533305586762586
INT-0501,92.57,90.41,3.9,0.0,Web Development,1,train,0.8676400416579789
INT-0502,83.87,100.0,3.64,6.0,Data Analytics,0,test,0.9048693559277026
INT-0503,72.27,69.39,2.55,4.0,Design,1,train,0.47725099401136245
INT-0504,59.48,31.29,2.95,7.0,Design,0,test,0.1850539779681291
INT-0505,22.45,26.83,2.08,4.0,Web Development,0,test,0.016275110472164685
INT-0506,81.62,86.38,2.01,1.0,Web Development,0,train,0.5863281763471033
INT-0507,100.0,100.0,3.45,0.0,Design,1,train,0.9103916352808784
INT-0508,72.98,85.23,3.91,5.0,Design,0,train,0.7834513286564135
INT-0509,82.05,70.69,2.55,4.0,Design,1,train,0.6006290040689329
INT-0510,90.77,64.93,3.84,7.0,Marketing,0,train,0.8293378281190346
INT-0511,43.5,54.17,3.17,7.0,Web Development,0,test,0.20877549534052067
INT-0512,91.61,47.73,2.36,1.0,Design,1,train,0.42053374238238334
INT-0513,85.98,64.83,2.46,2.0,Marketing,0,train,0.5372740663328617
INT-0514,76.69,85.68,4.53,1.0,Data Analytics,1,train,0.8030870904864251
INT-0515,100.0,89.65,4.04,0.0,Web Development,1,train,0.9065935859992306
INT-0516,84.42,73.25,3.28,0.0,Data Analytics,1,train,0.6444190370344474
INT-0517,87.08,88.94,3.08,0.0,Web Development,1,train,0.759250040905615
INT-0518,61.76,60.14,2.7,4.0,Data Analytics,1,train,0.30642889250520944
INT-0519,96.39,86.54,3.02,1.0,Design,1,train,0.8272527424357025
INT-0520,100.0,100.0,4.83,1.0,Data Analytics,1,train,0.9582503920800566
INT-0521,64.56,46.29,2.37,1.0,Design,0,train,0.1648535741362802
INT-0522,57.67,58.36,3.72,6.0,Design,0,train,0.41525912946187
INT-0523,98.0,89.0,3.79,5.0,Marketing,1,train,0.9252276720769581
INT-0524,74.62,46.74,2.57,8.0,Web Development,1,train,0.4128525488703985
INT-0525,84.32,81.57,3.8,1.0,Web Development,1,train,0.7757641815372139
INT-0526,57.09,86.87,1.34,1.0,Data Analytics,0,train,0.24531873009594923
INT-0527,100.0,100.0,4.04,4.0,Design,1,test,0.9532703776374467
INT-0528,53.82,55.57,3.35,5.0,Data Analytics,1,train,0.28776323863477066
INT-0529,83.67,54.57,4.11,1.0,Data Analytics,1,test,0.6112937813493827
INT-0530,95.13,95.47,2.86,1.0,Marketing,1,train,0.849227599337879
INT-0531,86.02,88.07,4.03,3.0,Design,1,test,0.8648643776051393
INT-0532,59.89,54.33,3.5,0.0,Data Analytics,1,test,0.2542322382908891
INT-0533,78.31,83.12,4.05,3.0,Design,1,train,0.7924152403079158
INT-0534,80.36,84.16,3.59,6.0,Web Development,1,test,0.8211205711123543
INT-0535,57.22,53.55,3.33,4.0,Data Analytics,0,test,0.28395967549068996
INT-0536,94.29,63.5,2.69,3.0,Web Development,1,train,0.6699060287814472
INT-0537,65.83,76.5,3.63,4.0,Marketing,1,train,0.6017917245163497
INT-0538,100.0,85.68,3.43,8.0,Data Analytics,1,train,0.9309394741287874
INT-0539,34.54,45.78,1.05,4.0,Web Development,0,train,0.031382805740059125
INT-0540,69.93,48.02,2.22,4.0,Marketing,0,train,0.24991400552661164
INT-0541,63.62,47.5,2.56,8.0,Web Development,0,train,0.30087536469868614
INT-0542,73.03,63.71,2.41,1.0,Data Analytics,0,test,0.3509940765491849
INT-0543,100.0,73.81,3.79,0.0,Web Development,0,train,0.8324982490170881
INT-0544,67.86,74.8,2.04,4.0,Design,1,train,0.40682763087488977
INT-0545,60.66,64.22,1.78,2.0,Marketing,1,train,0.19740911278579334
INT-0546,65.83,60.37,4.28,1.0,Design,1,train,0.4772277076753632
INT-0547,87.45,97.73,4.13,1.0,Data Analytics,1,train,0.8917277535226831
INT-0548,68.86,70.55,2.16,7.0,Marketing,0,train,0.47000513476531725
INT-0549,88.92,72.66,3.75,5.0,Marketing,1,test,0.8199658005032464
INT-0550,76.05,90.56,4.44,6.0,Design,1,train,0.8790305412745761
INT-0551,91.06,67.76,3.89,1.0,Marketing,1,train,0.7560621144698384
INT-0552,73.54,64.32,3.78,3.0,Marketing,0,train,0.583512056450998
INT-0553,93.74,91.22,4.31,5.0,Data Analytics,1,train,0.9348299939103645
INT-0554,100.0,80.7,3.91,4.0,Web Development,1,train,0.9081119601537869
INT-0555,80.45,83.58,3.38,6.0,Design,1,train,0.8020611091688332
INT-0556,79.53,63.55,3.23,6.0,Web Development,1,train,0.6448459214629618
INT-0557,62.52,56.98,2.83,3.0,Design,0,train,0.2851356320627016
INT-0558,45.45,61.22,2.61,7.0,Design,1,train,0.21539640750464523
INT-0559,54.55,60.23,2.83,2.0,Data Analytics,0,train,0.21810214591198823
INT-0560,54.63,46.21,2.98,0.0,Design,0,test,0.13381773550767476
INT-0561,62.54,80.92,2.63,8.0,Data Analytics,1,train,0.5697758249824512
INT-0562,99.9,78.94,4.13,0.0,Design,0,train,0.8754691962683637
INT-0563,81.44,55.23,2.74,2.0,Web Development,1,train,0.439522913118429
INT-0564,71.08,57.37,2.86,1.0,Data Analytics,0,train,0.33463276108472384
INT-0565,87.51,100.0,3.64,2.0,Marketing,1,train,0.8840608638216229
INT-0566,86.62,100.0,4.02,3.0,Web Development,1,test,0.9076442710746695
INT-0567,85.41,79.49,1.84,1.0,Data Analytics,0,train,0.5503570810749788
INT-0568,68.54,44.89,3.7,4.0,Web Development,0,test,0.3773264350834641
INT-0569,90.98,87.64,3.2,8.0,Marketing,1,train,0.8936755053377801
INT-0570,78.67,86.92,4.35,1.0,Data Analytics,0,test,0.8094501341114609
INT-0571,54.3,58.99,2.34,8.0,Web Development,1,train,0.26898736964322606
INT-0572,62.98,81.9,3.33,3.0,Web Development,1,test,0.5524787971296757
INT-0573,61.89,81.28,4.87,5.0,Marketing,0,train,0.7566956347417861
INT-0574,62.79,56.59,2.76,3.0,Data Analytics,0,test,0.2776319310866493
INT-0575,81.22,66.52,4.36,2.0,Data Analytics,0,train,0.7257653969132768
INT-0576,44.77,22.15,2.7,0.0,Design,0,train,0.035881457169001506
INT-0577,96.36,98.13,4.36,5.0,Data Analytics,1,train,0.9546309862212683
INT-0578,96.01,94.57,4.07,8.0,Design,1,train,0.954826999093999
INT-0579,52.9,75.77,3.87,4.0,Web Development,0,train,0.47787751935998074
INT-0580,73.94,59.09,3.1,5.0,Design,1,train,0.5048565319520546
INT-0581,48.33,42.47,1.51,5.0,Data Analytics,0,train,0.07147893538280714
INT-0582,65.68,82.26,2.37,3.0,Design,1,train,0.4624384949214224
INT-0583,62.35,68.4,3.32,1.0,Design,0,train,0.3825687834058998
INT-0584,64.57,53.98,2.71,4.0,Data Analytics,0,train,0.2909626806589459
INT-0585,98.23,87.76,4.25,7.0,Web Development,1,test,0.9487481618605568
INT-0586,100.0,100.0,5.0,2.0,Data Analytics,1,train,0.9650880202126646
INT-0587,60.57,38.84,2.13,7.0,Data Analytics,1,train,0.16784358608392155
INT-0588,61.6,61.45,2.47,7.0,Design,0,train,0.35286103607003244
INT-0589,75.0,64.57,2.51,2.0,Web Development,1,train,0.4147938718198339
INT-0590,100.0,90.12,5.0,5.0,Marketing,1,test,0.9635882378596852
INT-0591,62.84,51.75,3.0,6.0,Web Development,0,test,0.3315552917711176
INT-0592,87.78,94.85,3.86,4.0,Design,1,train,0.8982770108150142
INT-0593,100.0,100.0,3.37,6.0,Design,1,train,0.94595657680593
INT-0594,63.06,51.85,2.57,8.0,Design,0,test,0.3283034455859646
INT-0595,61.01,46.23,3.12,5.0,Marketing,0,train,0.2670899707966888
INT-0596,79.92,100.0,3.01,7.0,Design,0,test,0.8628193500688986
INT-0597,79.42,57.68,3.89,7.0,Design,0,train,0.6968146569330722
INT-0598,81.33,77.01,5.0,7.0,Design,1,test,0.8962479641702391
INT-0599,63.3,51.02,2.86,7.0,Web Development,1,train,0.33630509241996215
INT-0600,68.59,63.15,1.8,2.0,Design,0,test,0.25735414683415236
INT-0601,87.78,93.8,3.04,0.0,Marketing,1,train,0.7901472970333578
INT-0602,52.77,96.61,4.24,1.0,Design,0,train,0.6258710575962373
INT-0603,88.7,72.94,4.77,2.0,Design,1,train,0.8523159370029508
INT-0604,76.93,82.37,2.99,6.0,Data Analytics,1,train,0.7293967701873852
INT-0605,66.29,62.8,3.11,4.0,Web Development,1,train,0.4249559002496884
INT-0606,80.46,91.94,3.1,4.0,Data Analytics,0,train,0.7930797937261184
INT-0607,100.0,61.14,4.4,0.0,Data Analytics,1,test,0.8159505264493118
INT-0608,73.8,99.72,3.36,6.0,Web Development,0,train,0.836043079163088
INT-0609,46.42,56.04,2.38,3.0,Web Development,0,test,0.12631928774980658
INT-0610,87.65,80.06,4.1,6.0,Design,1,train,0.8795898076153561
INT-0611,67.42,64.48,2.75,1.0,Marketing,1,train,0.33790729373913925
INT-0612,86.26,65.05,3.35,2.0,Marketing,1,train,0.653068999002584
INT-0613,67.18,41.11,2.7,0.0,Web Development,0,train,0.16754796992598597
INT-0614,86.23,72.65,4.18,2.0,Web Development,1,train,0.7894163678645839
INT-0615,71.6,33.16,4.15,8.0,Design,0,train,0.4666334374016274
INT-0616,57.45,63.54,3.17,4.0,Web Development,0,train,0.3413609430125493
INT-0617,88.62,100.0,4.32,3.0,Marketing,1,train,0.9265037512332139
INT-0618,82.46,66.05,3.38,2.0,Marketing,0,train,0.6237410688200876
INT-0619,71.56,67.05,2.6,2.0,Design,0,train,0.40782744181382613
INT-0620,100.0,91.5,4.58,6.0,Data Analytics,1,train,0.9609100842942543
INT-0621,77.38,69.55,3.3,8.0,Design,0,train,0.7175483831058781
INT-0622,78.89,63.73,2.42,6.0,Marketing,1,train,0.5378623507446775
INT-0623,73.67,63.93,3.3,6.0,Data Analytics,0,test,0.5922394334131272
INT-0624,70.0,76.81,3.03,4.0,Data Analytics,1,train,0.5757943268611293
INT-0625,84.32,78.64,3.28,0.0,Design,1,train,0.6842706815264867
INT-0626,72.46,91.77,4.17,6.0,Web Development,1,test,0.8477606097280614
INT-0627,94.3,66.06,3.53,7.0,Design,0,train,0.8351324152669347
INT-0628,91.84,80.84,5.0,4.0,Web Development,0,test,0.9229179829651963
INT-0629,67.65,72.53,3.06,0.0,Marketing,1,train,0.41963210398447204
INT-0630,54.91,42.23,2.25,6.0,Web Development,1,train,0.1438062315863347
INT-0631,100.0,100.0,3.55,8.0,Web Development,1,test,0.958954905208678
INT-0632,100.0,100.0,4.68,2.0,Data Analytics,0,test,0.9590281895325737
INT-0633,68.55,56.38,3.21,1.0,Data Analytics,0,train,0.34147251317884136
INT-0634,54.13,39.23,1.47,6.0,Data Analytics,0,train,0.08883518140892142
INT-0635,65.67,64.63,2.87,2.0,Marketing,1,train,0.3568771460962166
INT-0636,70.48,49.35,3.03,6.0,Web Development,1,train,0.3984486739736306
INT-0637,77.83,65.27,3.59,6.0,Data Analytics,1,train,0.6820267103929332
INT-0638,70.88,72.9,3.17,2.0,Web Development,1,test,0.5227144602921379
INT-0639,89.3,84.6,3.28,0.0,Design,1,train,0.7699495639867943
INT-0640,97.93,61.55,3.99,5.0,Marketing,1,train,0.8431250461923585
INT-0641,56.13,26.31,2.53,3.0,Marketing,0,test,0.08191785193433263
INT-0642,84.47,100.0,1.74,7.0,Data Analytics,1,train,0.8006433200344261
INT-0643,100.0,100.0,4.09,3.0,Marketing,1,test,0.9499752393272254
INT-0644,84.35,65.69,4.24,2.0,Web Development,1,train,0.7365630498733916
INT-0645,66.08,62.77,2.05,7.0,Marketing,0,train,0.3608886167106043
INT-0646,69.07,49.05,3.41,6.0,Data Analytics,1,train,0.42795865484057755
INT-0647,77.19,100.0,4.82,5.0,Design,1,train,0.9211208834538925
INT-0648,63.14,38.81,2.0,8.0,Marketing,0,train,0.18962314655352702
INT-0649,76.66,93.77,3.48,7.0,Data Analytics,1,test,0.8480626395779599
INT-0650,73.81,66.48,2.29,7.0,Marketing,0,test,0.5097763011470405
INT-0651,100.0,100.0,5.0,7.0,Data Analytics,1,test,0.9782758047496236
INT-0652,82.88,72.81,3.25,3.0,Marketing,1,train,0.6867947870573143
INT-0653,92.88,100.0,4.27,0.0,Design,1,train,0.9178543196422307
INT-0654,51.79,64.41,3.8,5.0,Marketing,0,train,0.3856191390341819
INT-0655,88.46,90.12,4.16,6.0,Marketing,1,train,0.9168233591511384
INT-0656,88.48,81.98,2.95,8.0,Web Development,1,train,0.8442095140993464
INT-0657,69.16,54.84,2.51,6.0,Web Development,0,train,0.3643058130724517
INT-0658,72.39,100.0,3.84,5.0,Design,1,train,0.8487670541251077
INT-0659,100.0,78.7,3.57,5.0,Data Analytics,1,train,0.8950639555592279
INT-0660,66.03,66.88,1.76,1.0,Web Development,0,train,0.2368147512166478
INT-0661,49.1,45.14,2.52,0.0,Data Analytics,0,train,0.08314297381914004
INT-0662,68.31,77.35,2.36,0.0,Marketing,1,train,0.37910041569887454
INT-0663,78.38,51.55,4.08,8.0,Data Analytics,1,train,0.6838347239101128
INT-0664,79.54,70.93,3.35,7.0,Web Development,1,train,0.7326643651397308
INT-0665,82.91,68.33,2.73,2.0,Web Development,1,train,0.566138788724051
INT-0666,66.59,22.56,2.06,3.0,Web Development,0,train,0.09095131120885391
INT-0667,83.51,46.28,1.27,4.0,Marketing,0,test,0.2649200655698556
INT-0668,67.66,64.31,2.87,2.0,Marketing,0,train,0.37583090305370515
INT-0669,63.3,39.36,3.85,3.0,Design,0,train,0.27837450326130514
INT-0670,35.93,32.88,3.68,3.0,Marketing,0,train,0.07347001229133422
INT-0671,80.48,91.39,4.3,6.0,Data Analytics,1,test,0.8951826391632641
INT-0672,71.04,83.73,3.47,6.0,Marketing,1,train,0.7336943413755166
INT-0673,65.01,68.52,2.74,0.0,Data Analytics,0,train,0.32082936382765
INT-0674,47.4,23.87,2.07,4.0,Data Analytics,0,train,0.04533714651047043
INT-0675,93.05,66.32,5.0,8.0,Data Analytics,1,test,0.9194531946575204
INT-0676,83.41,100.0,3.44,7.0,Data Analytics,1,train,0.9024517960685022
INT-0677,100.0,95.46,5.0,7.0,Marketing,1,test,0.9747359281528979
INT-0678,88.96,87.27,4.59,6.0,Web Development,1,test,0.9275534776040524
INT-0679,89.46,68.59,2.38,0.0,Marketing,1,train,0.5504473465736581
INT-0680,71.93,70.44,2.85,8.0,Web Development,1,train,0.6166173556532447
INT-0681,100.0,76.2,3.34,6.0,Data Analytics,1,test,0.8845713798676316
INT-0682,89.1,89.86,3.66,7.0,Web Development,1,train,0.9053838958534102
INT-0683,76.9,93.94,3.98,8.0,Data Analytics,1,train,0.890314644375982
INT-0684,60.68,57.38,5.0,2.0,Web Development,0,test,0.5098480619580951
INT-0685,54.5,50.33,2.43,0.0,Design,1,train,0.1171912555651229
INT-0686,71.47,68.08,3.32,5.0,Marketing,1,train,0.5805447976327223
INT-0687,87.85,67.67,4.23,4.0,Design,1,train,0.8097488867567927
INT-0688,94.29,100.0,4.15,0.0,Data Analytics,1,train,0.9180951757717374
INT-0689,91.69,100.0,3.25,2.0,Design,1,train,0.8832048484880892
INT-0690,77.54,84.11,2.46,8.0,Design,1,test,0.7308322478426986
INT-0691,89.66,87.08,3.63,3.0,Data Analytics,1,test,0.8561834103298547
INT-0692,65.25,66.87,3.64,2.0,Marketing,0,train,0.46706713158950924
INT-0693,81.34,60.09,4.11,5.0,Marketing,0,train,0.7155944331332149
INT-0694,46.84,17.46,2.67,5.0,Design,0,train,0.05304937805611094
INT-0695,68.16,76.73,3.98,2.0,Web Development,1,train,0.6261879809171257
INT-0696,48.48,48.42,3.66,7.0,Web Development,1,train,0.26081288590142965
